27628808	ACC	-0.07662964	4.808731	8.755341
27628818	ACC	0.0	4.9045258	8.563751
27628828	ACC	0.019165039	4.9236755	8.391327
27628838	ACC	0.0	4.9428406	8.391327
27628848	ACC	-0.07662964	4.9619904	8.333862
27628858	ACC	-0.19158936	4.9619904	8.391327
27628868	ACC	-0.28736877	4.9619904	8.410492
27628877	ACC	-0.38316345	4.9428406	8.487122
27628887	ACC	-0.4023285	4.9428406	8.487122
27628897	ACC	-0.4023285	4.9428406	8.525436
27628907	ACC	-0.34484863	4.866211	8.621231
27628917	ACC	-0.268219	4.808731	8.659546
27628927	ACC	-0.21073914	4.751251	8.563751
27628937	ACC	-0.24905396	4.7704163	8.544601
27628946	ACC	-0.268219	4.789566	8.506287
27628956	ACC	-0.34484863	4.789566	8.410492
27628966	ACC	-0.38316345	4.751251	8.314697
27628976	ACC	-0.4023285	4.6746216	8.199753
27628986	ACC	-0.36401367	4.6937866	8.065643
27628996	ACC	-0.34484863	4.6746216	8.103958
27629006	ACC	-0.28736877	4.578827	8.180588
27629015	ACC	-0.22990417	4.387253	8.353012
27629025	ACC	-0.24905396	4.1956635	8.487122
27629035	ACC	-0.3065338	4.042404	8.77449
27629045	ACC	-0.36401367	3.9849243	8.946915
27629055	ACC	-0.4597931	4.0040894	9.081024
27629065	ACC	-0.42147827	3.9657593	9.215134
27629074	ACC	-0.4023285	4.023239	9.195984
27629084	ACC	-0.34484863	4.1573486	9.215134
27629094	ACC	-0.36401367	4.348938	9.138504
27629104	ACC	-0.3065338	4.387253	8.870285
27629114	ACC	-0.268219	4.5021973	8.621231
27629124	ACC	-0.17242432	4.6171417	8.391327
27629134	ACC	-0.05747986	4.636307	8.314697
27629143	ACC	0.09579468	4.6746216	8.123123
27629153	ACC	0.24905396	4.751251	8.103958
27629163	ACC	0.4597931	4.7129364	8.218903
27629173	ACC	0.5939026	4.6937866	8.276382
27629183	ACC	0.8046417	4.6171417	8.429642
27629193	ACC	0.9387512	4.5213623	8.678711
27629202	ACC	0.9387512	4.4064026	8.946915
27629212	ACC	0.95791626	4.348938	9.368408
27629222	ACC	0.8429718	4.2339783	9.674942
27629232	ACC	0.7088623	4.1765137	9.923996
27629242	ACC	0.55558777	4.2148285	10.000626
27629252	ACC	0.42147827	4.2148285	10.09642
27629262	ACC	0.3065338	4.272293	10.077255
27629271	ACC	0.24905396	4.368088	9.866516
27629281	ACC	0.3256836	4.4255676	9.674942
27629291	ACC	0.36401367	4.540512	9.195984
27629301	ACC	0.4597931	4.6171417	8.870285
27629311	ACC	0.536438	4.7129364	8.544601
27629321	ACC	0.6322174	4.789566	8.372177
27629331	ACC	0.7280121	4.789566	8.2955475
27629340	ACC	0.82380676	4.789566	8.314697
27629350	ACC	0.8046417	4.808731	8.353012
27629360	ACC	0.7280121	4.7129364	8.429642
27629370	ACC	0.6705475	4.789566	8.525436
27629380	ACC	0.68969727	4.7129364	8.678711
27629390	ACC	0.65138245	4.7129364	8.697861
27629399	ACC	0.6705475	4.6746216	8.736176
27629409	ACC	0.7088623	4.578827	8.793655
27629419	ACC	0.68969727	4.578827	8.793655
27629429	ACC	0.6705475	4.559677	8.81282
27629439	ACC	0.7088623	4.597992	8.736176
27629449	ACC	0.7280121	4.636307	8.582916
27629459	ACC	0.78549194	4.636307	8.544601
27629468	ACC	0.8046417	4.597992	8.429642
27629478	ACC	0.7663269	4.6937866	8.314697
27629488	ACC	0.7280121	4.6746216	8.314697
27629498	ACC	0.68969727	4.655472	8.314697
27629508	ACC	0.5939026	4.6746216	8.2955475
27629518	ACC	0.51727295	4.6746216	8.238068
27629527	ACC	0.47895813	4.7129364	8.314697
27629537	ACC	0.4406433	4.7129364	8.2955475
27629547	ACC	0.49812317	4.6746216	8.314697
27629557	ACC	0.55558777	4.655472	8.353012
27629567	ACC	0.5747528	4.597992	8.333862
27629577	ACC	0.5939026	4.597992	8.372177
27629587	ACC	0.6130676	4.597992	8.372177
27629596	ACC	0.7088623	4.636307	8.333862
27629606	ACC	0.78549194	4.578827	8.314697
27629616	ACC	0.97706604	4.559677	8.333862
27629626	ACC	1.1878204	4.559677	8.391327
27629636	ACC	1.4560242	4.6937866	8.391327
27629646	ACC	1.5326691	4.7321014	8.314697
27629655	ACC	1.5326691	4.6937866	8.180588
27629665	ACC	1.4560242	4.6171417	8.238068
